	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0											gnm	esm																			
1											gnm	esm																			
2											gnm	esm																			
3											gnm	esm																			
4											gnm	esm																			
5											gnm	esm																			
6											gnm	esm																			
7											gnm	esm																			
8											gnm	esm																			
9											gnm	esm																			
10											gnm	esm																			
11											gnm	esm																			
12											gnm	esm																			
13											gnm	esm																			
14											gnm	esm																			
15											gnm	esm																			
16											gnm	esm																			
